Dataset,GridSize,HV,GapHV(%),+/=/-,IGD,Wins,Ties,Loses
20,5,1.0469784324352671,4.6978432435267115,3/0/1,0.6285660097420941,3,0,1
20,10,1.5472133178824987,54.72133178824987,3/0/1,0.3926187077097597,3,0,1
20,20,1.150284148702406,15.028414870240603,3/0/1,0.28108061640012827,3,0,1
50,10,1.838894724825756,83.88947248257561,4/0/0,0.5720567986707373,4,0,0
50,20,1.0055299929498347,0.5529992949834694,3/0/1,0.37010397545295987,3,0,1
50,30,0.09288619445190022,-90.71138055480998,0/0/4,0.9761548345945985,0,0,4
50,40,0.249917131084945,-75.00828689150549,0/0/4,0.7763348401502148,0,0,4
100,10,1.1619061283778955,16.19061283778955,2/0/2,0.6141960132308583,2,0,2
100,20,0.39718657621111875,-60.28134237888813,0/0/4,0.755141563941617,0,0,4
100,30,0.14503932502824776,-85.49606749717522,0/0/4,0.924679751375143,0,0,4
100,40,0.6709238738462519,-32.907612615374816,0/0/4,0.6550112312657338,0,0,4
200,10,1.1665219714397468,16.65219714397468,3/0/1,0.6556151127439255,3,0,1
200,20,0.6666741220514453,-33.33258779485547,0/0/4,0.610892129187954,0,0,4
200,30,0.34107673131564914,-65.89232686843509,0/0/4,0.8519808568649613,0,0,4
200,40,0.08929749463167141,-91.07025053683286,0/0/4,1.01179191073422,0,0,4
