Instance,Size,Result_CT,Result_WT,Bench_CT,Bench_WT,CT_Gap_%,WT_Gap_%,Status
100.10.1,100,4486.7,146849.8,5522.23,183008.0,-18.75202590257921,-19.7577155097045,win
100.10.2,100,4222.03,133198.53,5329.83,167258.0,-20.78490308321279,-20.363432541343315,win
100.10.3,100,4348.08,132377.87,5595.11,183802.0,-22.287854930466064,-27.978003503770367,win
100.10.4,100,4138.37,138037.56,5032.91,172997.0,-17.773812764384818,-20.20811921594016,win
100.20.1,100,11296.79,247411.01,13691.4,275593.0,-17.489884160860093,-10.225945506598496,win
100.20.2,100,11803.8,243651.16,12723.0,265681.0,-7.2247111530299515,-8.291838708827502,win
100.20.3,100,11322.32,246420.84,12543.4,285954.0,-9.734840633321108,-13.825006819278626,win
100.20.4,100,11093.94,228122.62,12139.7,249694.0,-8.614380915508622,-8.639126290579672,win
100.30.1,100,17718.37,395261.28,16871.8,367505.0,5.017662608613187,7.552626494877629,loss
100.30.2,100,20121.66,394625.13,20215.8,403414.0,-0.4656753628350074,-2.1786229530953305,win
100.30.3,100,19878.71,462954.52,18831.7,442980.0,5.559827312457178,4.509124565443139,loss
100.30.4,100,18733.62,439752.92,18659.0,397512.0,0.39991425049573387,10.626325746140992,loss
100.40.1,100,26965.12,566525.55,22933.9,482058.0,17.577559856805852,17.52227947674347,loss
100.40.2,100,26055.19,583989.7,22485.7,503727.0,15.874489119751656,15.933769680799312,loss
100.40.3,100,27539.1,550123.78,23469.4,547570.0,17.34045182237295,0.46638420658546453,loss
100.40.4,100,26133.33,576821.05,22860.2,500478.0,14.318028713659553,15.254027150044566,loss
20.10.1,20,2538.92,20368.09,2957.09,19838.2,-14.141267259366474,2.67105886622778,tie
20.10.2,20,3546.73,22082.48,3799.78,28027.6,-6.659596081878429,-21.211662789536025,win
20.10.3,20,2928.62,19950.22,3450.73,29099.8,-15.130421678891137,-31.44207176681626,win
20.10.4,20,3034.09,17332.4,3436.22,18139.0,-11.702684927041915,-4.446772148409496,win
20.20.1,20,8643.43,46550.23,8256.44,45481.7,4.687129077423196,2.349362490847981,loss
20.20.2,20,6564.5,26903.44,6499.78,28941.4,0.9957260091880072,-7.0416773203784295,tie
20.20.3,20,7069.62,46448.49,6624.2,43084.4,6.724132725461189,7.808139372951686,loss
20.20.4,20,8472.68,44418.07,8150.22,41397.2,3.9564576170949985,7.297280975524921,loss
20.5.1,20,1441.18,11588.63,1673.41,13237.5,-13.87765102395707,-12.45605288007555,win
20.5.2,20,1445.31,12620.66,1704.02,14747.7,-15.182333540686145,-14.422859157699172,win
20.5.3,20,1380.6,8965.24,1691.84,13473.5,-18.396538679780594,-33.4601996511671,win
20.5.4,20,1397.03,9297.11,1602.21,10450.2,-12.806061627377188,-11.03414288721747,win
200.10.1,200,7058.33,576644.85,9038.46,746222.0,-21.907825005587227,-22.724758851923426,win
200.10.2,200,6946.47,611783.11,8734.16,780631.0,-20.46779541478516,-21.629667538183856,win
200.10.3,200,7085.41,633436.32,9010.41,798535.0,-21.364177656732604,-20.67519645350549,win
200.10.4,200,7360.38,626769.9,9439.18,769487.0,-22.02309946414837,-18.547044979317388,win
200.20.1,200,16484.27,1407550.28,16042.1,1263050.0,2.7563099594192786,11.440582716440364,loss
