SolutionID,CompletionTime,TotalWaitingTime
0,1439.31,3215.66
1,1439.31,3215.66
2,1439.31,3215.66
3,1439.31,3215.66
4,1439.31,3215.66
5,1439.31,3215.66
6,1439.31,3215.66
7,1439.31,3215.66
8,1439.31,3215.66
9,1439.31,3215.66
10,1439.31,3215.66
11,1439.31,3215.66
12,1439.31,3215.66
13,1439.31,3215.66
14,1439.31,3215.66
15,1439.31,3215.66
16,1439.31,3215.66
17,1439.31,3215.66
18,1439.31,3215.66
19,1439.31,3215.66
20,1439.31,3215.66
21,1439.31,3215.66
22,1439.31,3215.66
23,1439.31,3215.66
24,1439.31,3215.66
25,1439.31,3215.66
26,1439.31,3215.66
27,1439.31,3215.66
28,1439.31,3215.66
29,1439.31,3215.66
30,1439.31,3215.66
31,1439.31,3215.66
32,1439.31,3215.66
33,1439.31,3215.66
34,1439.31,3215.66
35,1439.31,3215.66
36,1439.31,3215.66
37,1439.31,3215.66
38,1439.31,3215.66
39,1439.31,3215.66
40,1439.31,3215.66
41,1439.31,3215.66
42,1439.31,3215.66
43,1439.31,3215.66
44,1439.31,3215.66
45,1439.31,3215.66
46,1439.31,3215.66
47,1439.31,3215.66
48,1439.31,3215.66
49,1439.31,3215.66
50,1439.31,3215.66
51,1439.31,3215.66
52,1439.31,3215.66
53,1439.31,3215.66
54,1439.31,3215.66
55,1439.31,3215.66
56,1439.31,3215.66
57,1439.31,3215.66
58,1439.31,3215.66
59,1439.31,3215.66
60,1439.31,3215.66
61,1439.31,3215.66
62,1439.31,3215.66
63,1439.31,3215.66
64,1439.31,3215.66
65,1439.31,3215.66
66,1439.31,3215.66
67,1439.31,3215.66
68,1439.31,3215.66
69,1439.31,3215.66
70,1439.31,3215.66
71,1439.31,3215.66
72,1439.31,3215.66
73,1439.31,3215.66
74,1439.31,3215.66
75,1439.31,3215.66
76,1439.31,3215.66
77,1439.31,3215.66
78,1439.31,3215.66
79,1439.31,3215.66
80,1439.31,3215.66
81,1439.31,3215.66
82,1439.31,3215.66
83,1439.31,3215.66
84,1439.31,3215.66
85,1439.31,3215.66
86,1439.31,3215.66
87,1439.31,3215.66
88,1439.31,3215.66
89,1439.31,3215.66
90,1439.31,3215.66
91,1439.31,3215.66
92,1439.31,3215.66
93,1439.31,3215.66
94,1439.31,3215.66
95,1439.31,3215.66
96,1439.31,3215.66
97,1439.31,3215.66
98,1439.31,3215.66
99,1439.31,3215.66
100,1439.31,3215.66
101,1439.31,3215.66
102,1439.31,3215.66
103,1439.31,3215.66
104,1439.31,3215.66
105,1439.31,3215.66
106,1439.31,3215.66
107,1439.31,3215.66
108,1439.31,3215.66
109,1439.31,3215.66
110,1439.31,3215.66
111,1439.31,3215.66
112,1439.31,3215.66
113,1439.31,3215.66
114,1439.31,3215.66
115,1439.31,3215.66
116,1439.31,3215.66
117,1439.31,3215.66
118,1439.31,3215.66
119,1439.31,3215.66
120,1439.31,3215.66
121,1439.31,3215.66
122,1439.31,3215.66
123,1439.31,3215.66
124,1439.31,3215.66
125,1439.31,3215.66
126,1439.31,3215.66
127,1439.31,3215.66
128,1439.31,3215.66
129,1439.31,3215.66
130,1439.31,3215.66
131,1439.31,3215.66
132,1439.31,3215.66
133,1439.31,3215.66
134,1439.31,3215.66
135,1439.31,3215.66
136,1439.31,3215.66
137,1439.31,3215.66
138,1439.31,3215.66
139,1439.31,3215.66
140,1439.31,3215.66
141,1439.31,3215.66
142,1439.31,3215.66
143,1439.31,3215.66
144,1439.31,3215.66
145,1439.31,3215.66
146,1439.31,3215.66
147,1439.31,3215.66
148,1439.31,3215.66
149,1439.31,3215.66
150,1439.31,3215.66
151,1439.31,3215.66
152,1439.31,3215.66
153,1439.31,3215.66
154,1439.31,3215.66
155,1439.31,3215.66
156,1439.31,3215.66
157,1439.31,3215.66
158,1439.31,3215.66
159,1439.31,3215.66
160,1439.31,3215.66
161,1439.31,3215.66
162,1439.31,3215.66
163,1439.31,3215.66
164,1439.31,3215.66
165,1439.31,3215.66
166,1439.31,3215.66
167,1439.31,3215.66
168,1439.31,3215.66
169,1439.31,3215.66
170,1439.31,3215.66
171,1439.31,3215.66
172,1439.31,3215.66
173,1439.31,3215.66
174,1439.31,3215.66
175,1439.31,3215.66
176,1439.31,3215.66
177,1439.31,3215.66
178,1439.31,3215.66
179,1439.31,3215.66
180,1439.31,3215.66
181,1439.31,3215.66
182,1439.31,3215.66
183,1439.31,3215.66
184,1439.31,3215.66
185,1439.31,3215.66
186,1439.31,3215.66
