"ArchiveSize","Iterations","Time","Size","WT","CT","EvalLimit","Instance","Evaluations"
"2","0","5.5812647","20","9991.52","1735","260000","20.5.1","65168"
"4","0","5.5730233","20","10674.1","1841.52","260000","20.5.2","65341"
"2","0","5.249117","20","13305.76","1577.76","260000","20.5.3","65182"
"5","0","2.7413113","20","10632.91","1603.19","260000","20.5.4","65421"
"3","0","2.9642951","20","14261.27","2408.85","260000","20.10.1","65253"
"1","0","1.5533304","20","27306.3","4089.89","260000","20.10.2","65337"
"2","0","4.7447094","20","20325.63","2654.43","260000","20.10.3","65196"
"4","0","2.0271394","20","21628.87","3598.96","260000","20.10.4","65151"
"2","0","1.1113871","20","44882.7","8256.44","260000","20.20.1","66252"
"3","0","1.3428741","20","26220.06","5048.36","260000","20.20.2","66337"
"2","0","0.6481755","20","31556.38","6624.2","260000","20.20.3","67047"
"12","0","0.9812086","20","38493.47","8278.93","260000","20.20.4","65591"
"8","0","34.5080407","50","77342.85","4724.18","2190000","50.10.1","548691"
"12","0","17.232243","50","99476.92","5487.9","2190000","50.10.2","548732"
"1","0","6.1219003","50","74462.26","5048.25","2190000","50.10.3","555405"
"1","0","38.450543","50","67320.13","4328.29","2190000","50.10.4","547600"
"39","0","15.0244992","50","162646.93","10455.75","2190000","50.20.1","548046"
"10","0","21.4090971","50","144614.32","9468.72","2190000","50.20.2","549340"
"4","0","16.2820184","50","117975.23","8916.57","2190000","50.20.3","552393"
"3","0","13.7653398","50","96983.86","8338.79","2190000","50.20.4","550712"
"4","0","33.2403769","50","261272.07","16905.96","2190000","50.30.1","549693"
"205","0","20.7260677","50","231664.91","15308.18","2190000","50.30.2","549587"
"6","0","24.439394","50","319146.29","17947.43","2190000","50.30.3","547790"
"309","0","16.558094","50","271310.5","18726.29","2190000","50.30.4","548155"
"375","0","14.5606057","50","357343.44","21879.75","2190000","50.40.1","549208"
"243","0","11.9810083","50","383674.66","21745.45","2190000","50.40.2","550465"
"7","0","13.0206387","50","402450.87","21750.24","2190000","50.40.3","550764"
"3","0","19.9752506","50","364421.77","21101.64","2190000","50.40.4","551461"
"483","0","190.4461563","100","222899.31","7656.56","41220000","100.10.1","10401398"
"1","0","162.0243918","100","165215.59","4998.76","41220000","100.10.2","10318465"
"43","0","170.8337773","100","215424.99","7584","41220000","100.10.3","10347985"
"1331","0","171.5792069","100","209660.43","7280.66","41220000","100.10.4","10392218"
"4","0","401.0093971","100","322220.74","12635.12","41220000","100.20.1","10307854"
"13","0","509.693762","100","244616.62","11486.13","41220000","100.20.2","10308716"
"455","0","443.5003937","100","364715.96","13213.32","41220000","100.20.3","10308624"
"584","0","341.1320614","100","330735.67","13465.01","41220000","100.20.4","10326803"
"20","0","587.7557369","100","565663.7","18680.88","41220000","100.30.1","10307179"
"4","0","855.0466798","100","539942.28","18169.3","41220000","100.30.2","10306024"
"27","0","384.4383375","100","647913.89","19041.48","41220000","100.30.3","10305463"
"17","0","586.1323451","100","773512.55","20928.92","41220000","100.30.4","10305354"
"7","0","333.5293619","100","878605.07","24292.17","41220000","100.40.1","10313622"
"4","0","301.255605","100","763596.16","24614.93","41220000","100.40.2","10305518"
"59","0","303.5163543","100","799833.91","24184.87","41220000","100.40.3","10462705"
"10","0","428.5615351","100","716571.93","24735.33","41220000","100.40.4","10307455"
"1","0","19811.7933399","200","302899.9","5976.31","75200000","200.10.1","18800294"
"1","0","20990.7436652","200","364850.97","6716.57","75200000","200.10.2","18865595"
"1","0","919.0716268","200","338333.22","6333.34","75200000","200.10.3","18816899"
"1","0","980.8300289","200","327903.57","6268.2","75200000","200.10.4","18809078"
"17","0","1065.1325871","200","858703.82","14314.81","75200000","200.20.1","18800883"
"5","0","1052.990863","200","680972.87","14478.34","75200000","200.20.2","18822258"
"6","0","993.489409","200","825818.17","14070.88","75200000","200.20.3","18802210"
"6","0","1003.6731829","200","777881.25","13071.32","75200000","200.20.4","18805490"
"84","0","998.2557861","200","1390148.15","19692.36","75200000","200.30.1","18810227"
"335","0","976.7420059","200","1261772.11","20124.16","75200000","200.30.2","18826961"
"3","0","1067.2152687","200","1319310","20087.64","75200000","200.30.3","18802144"
"7","0","1377.5566163","200","1216475.48","19300.14","75200000","200.30.4","18800218"
"5","0","1002.8090233","200","1661718.8","24868.06","75200000","200.40.1","18823613"
"3","0","1472.3417283","200","1518972.81","25959.68","75200000","200.40.2","18807415"
"5","0","1038.0353372","200","1718817.32","24525.5","75200000","200.40.3","18805701"
"6","0","2266.3710995","200","1506646.46","25250.95","75200000","200.40.4","18819650"
