Instance,Size,EvalType,Result_CT,Result_WT,Benchmark_CT,Benchmark_WT,CT_Gap_%,WT_Gap_%,Status
100.10.1,100,50% evals,7313.72,219589.33,5522.23,183008.0,32.44142312073204,19.988923981465284,loss
100.10.2,100,50% evals,4951.54,153715.53,5329.83,167258.0,-7.097599735826471,-8.096754714273757,win
100.10.3,100,50% evals,7584.0,215424.99,5595.11,183802.0,35.54693294680534,17.204921600417837,loss
100.10.4,100,50% evals,7280.66,209660.43,5032.91,172997.0,44.661041027954006,21.19310161447886,loss
100.20.1,100,50% evals,12003.99,297621.41,13691.4,275593.0,-12.324597922783646,7.993094889928254,tie
100.20.2,100,50% evals,11435.7,237661.0,12723.0,265681.0,-10.117896722471109,-10.546482435702966,win
100.20.3,100,50% evals,12921.01,358504.89,12543.4,285954.0,3.010427794696817,25.371524790700605,loss
100.20.4,100,50% evals,13518.7,329048.73,12139.7,249694.0,11.3594240384853,31.78079168902736,loss
100.30.1,100,50% evals,18680.88,565663.7,16871.8,367505.0,10.722507379177099,53.920001088420555,loss
100.30.2,100,50% evals,18316.06,529285.29,20215.8,403414.0,-9.397303099555783,31.201517547730134,tie
100.30.3,100,50% evals,19296.22,566072.56,18831.7,442980.0,2.466691801589875,27.787385435008368,loss
100.30.4,100,50% evals,20915.17,723556.17,18659.0,397512.0,12.091591189238429,82.0212144539033,loss
100.40.1,100,50% evals,24131.32,792775.8,22933.9,482058.0,5.22117912784131,64.4565176804451,loss
100.40.2,100,50% evals,24485.16,755585.86,22485.7,503727.0,8.892140338081532,49.99907886613185,loss
100.40.3,100,50% evals,23904.05,786605.2,23469.4,547570.0,1.8519859902681697,43.65381595047207,loss
100.40.4,100,50% evals,24231.3,734279.99,22860.2,500478.0,5.9977602995599275,46.715737754706495,loss
20.10.1,20,25% evals,2408.85,14261.27,2957.09,19838.2,-18.53984829680531,-28.112076700507103,win
20.10.2,20,25% evals,4089.89,27306.3,3799.78,28027.6,7.634915705646107,-2.5735346586935712,tie
20.10.3,20,25% evals,2654.43,20325.63,3450.73,29099.8,-23.076276613933867,-30.151994171781244,win
20.10.4,20,25% evals,3598.96,21628.87,3436.22,18139.0,4.736018066363628,19.239594244445666,loss
20.20.1,20,25% evals,8256.44,44882.7,8256.44,45481.7,0.0,-1.3170132163045796,win
20.20.2,20,25% evals,5048.36,26220.06,6499.78,28941.4,-22.330294256113287,-9.402931440773425,win
20.20.3,20,25% evals,6624.2,31556.38,6624.2,43084.4,0.0,-26.756830778657704,win
20.20.4,20,25% evals,8278.93,38493.47,8150.22,41397.2,1.5792211743977467,-7.0143149778245775,tie
