ArchiveSize,Iterations,Time,Size,WT,CT,EvalLimit,Instance,Evaluations,EvalType
735,,390.2716417,100,219589.33,7313.72,,100.10.1,20673074,50% evals
2,,591.307389,100,153715.53,4951.54,,100.10.2,20648702,50% evals
738,,554.275477,100,215424.99,7584.0,,100.10.3,20695841,50% evals
8,,542.587152,100,209660.43,7280.66,,100.10.4,20643173,50% evals
6,,773.2269728,100,297621.41,12003.99,,100.20.1,20612966,50% evals
1667,,870.3064831,100,237661.0,11435.7,,100.20.2,20618127,50% evals
33,,785.635674,100,358504.89,12921.01,,100.20.3,20610626,50% evals
832,,633.8538236,100,329048.73,13518.7,,100.20.4,20664129,50% evals
41,,1115.6365218,100,565663.7,18680.88,,100.30.1,20613060,50% evals
5,,1853.0528013,100,529285.29,18316.06,,100.30.2,20610354,50% evals
66,,708.1187107,100,566072.56,19296.22,,100.30.3,20619510,50% evals
10,,1267.9936911,100,723556.17,20915.17,,100.30.4,20610728,50% evals
4,,638.6166345,100,792775.8,24131.32,,100.40.1,20617785,50% evals
6,,645.1179094,100,755585.86,24485.16,,100.40.2,20613478,50% evals
493,,579.138211,100,786605.2,23904.05,,100.40.3,20833039,50% evals
11,,878.808102,100,734279.99,24231.3,,100.40.4,20613110,50% evals
3,0.0,2.9642951,20,14261.27,2408.85,260000.0,20.10.1,65253,25% evals
1,0.0,1.5533304,20,27306.3,4089.89,260000.0,20.10.2,65337,25% evals
2,0.0,4.7447094,20,20325.63,2654.43,260000.0,20.10.3,65196,25% evals
4,0.0,2.0271394,20,21628.87,3598.96,260000.0,20.10.4,65151,25% evals
2,0.0,1.1113871,20,44882.7,8256.44,260000.0,20.20.1,66252,25% evals
3,0.0,1.3428741,20,26220.06,5048.36,260000.0,20.20.2,66337,25% evals
2,0.0,0.6481755,20,31556.38,6624.2,260000.0,20.20.3,67047,25% evals
12,0.0,0.9812086,20,38493.47,8278.93,260000.0,20.20.4,65591,25% evals
2,0.0,5.5812647,20,9991.52,1735.0,260000.0,20.5.1,65168,25% evals
4,0.0,5.5730233,20,10674.1,1841.52,260000.0,20.5.2,65341,25% evals
2,0.0,5.249117,20,13305.76,1577.76,260000.0,20.5.3,65182,25% evals
5,0.0,2.7413113,20,10632.91,1603.19,260000.0,20.5.4,65421,25% evals
1,0.0,19811.7933399,200,302899.9,5976.31,75200000.0,200.10.1,18800294,25% evals
1,0.0,20990.7436652,200,364850.97,6716.57,75200000.0,200.10.2,18865595,25% evals
1,0.0,919.0716268,200,338333.22,6333.34,75200000.0,200.10.3,18816899,25% evals
1,0.0,980.8300289,200,327903.57,6268.2,75200000.0,200.10.4,18809078,25% evals
17,0.0,1065.1325871,200,858703.82,14314.81,75200000.0,200.20.1,18800883,25% evals
5,0.0,1052.990863,200,680972.87,14478.34,75200000.0,200.20.2,18822258,25% evals
6,0.0,993.489409,200,825818.17,14070.88,75200000.0,200.20.3,18802210,25% evals
6,0.0,1003.6731829,200,777881.25,13071.32,75200000.0,200.20.4,18805490,25% evals
84,0.0,998.2557861,200,1390148.15,19692.36,75200000.0,200.30.1,18810227,25% evals
335,0.0,976.7420059,200,1261772.11,20124.16,75200000.0,200.30.2,18826961,25% evals
3,0.0,1067.2152687,200,1319310.0,20087.64,75200000.0,200.30.3,18802144,25% evals
7,0.0,1377.5566163,200,1216475.48,19300.14,75200000.0,200.30.4,18800218,25% evals
5,0.0,1002.8090233,200,1661718.8,24868.06,75200000.0,200.40.1,18823613,25% evals
3,0.0,1472.3417283,200,1518972.81,25959.68,75200000.0,200.40.2,18807415,25% evals
5,0.0,1038.0353372,200,1718817.32,24525.5,75200000.0,200.40.3,18805701,25% evals
6,0.0,2266.3710995,200,1506646.46,25250.95,75200000.0,200.40.4,18819650,25% evals
4,,149.0938839,50,75092.1,4717.26,,50.10.1,1097953,50% evals
5,,72.9941377,50,99476.92,5487.9,,50.10.2,1095077,50% evals
4,,44.7546826,50,79342.64,4401.01,,50.10.3,1096909,50% evals
1,,167.6762952,50,67320.13,4328.29,,50.10.4,1095362,50% evals
124,,29.4789665,50,146795.29,10612.79,,50.20.1,1105441,50% evals
12,,40.8742966,50,137089.69,9899.33,,50.20.2,1098487,50% evals
2,,29.0162324,50,109140.31,9316.63,,50.20.3,1111472,50% evals
3,,25.6705548,50,89668.4,9040.16,,50.20.4,1119155,50% evals
11,,62.707316,50,261272.07,16905.96,,50.30.1,1095286,50% evals
10,,35.3837313,50,174615.88,16095.13,,50.30.2,1099147,50% evals
155,,48.3486265,50,264881.64,17867.23,,50.30.3,1096008,50% evals
672,,26.3167808,50,270823.59,18726.29,,50.30.4,1103881,50% evals
38,,27.4833105,50,338454.57,22099.13,,50.40.1,1104381,50% evals
442,,22.9899276,50,372819.08,21572.24,,50.40.2,1097846,50% evals
11,,23.1800228,50,402450.87,21750.24,,50.40.3,1110309,50% evals
5,,34.6763928,50,364421.77,21101.64,,50.40.4,1099104,50% evals
