Instance,Result_CT,Result_WT,Benchmark_CT,Benchmark_WT,CT_Gap_%,WT_Gap_%,Status
50.10.1,4724.18,78176.1,4755.86,79204.2,-0.6661255798109992,-1.2980372252986474,WIN
50.10.2,5853.69,109900.03,4680.04,85099.6,25.07777711301612,29.14282793338628,LOSE
50.10.3,5048.25,74462.26,4467.58,83180.9,12.997416946087146,-10.481540834494457,TIE
50.10.4,4408.6,68403.7,4426.78,68299.2,-0.4106822566289579,0.15300325626068828,TIE
50.20.1,11204.57,167149.29,9423.41,128594.0,18.901438014476714,29.98218423876698,LOSE
50.20.2,10820.18,167271.9,8872.05,127307.0,21.95805929858377,31.392539294775617,LOSE
50.20.3,11239.86,132629.38,9224.14,134840.0,21.852660519029428,-1.6394393355087478,TIE
50.20.4,7966.2,100986.55,10797.9,115205.0,-26.224543661267468,-12.341868842498153,WIN
50.30.1,16905.96,261272.07,15769.6,173639.0,7.2060166396103815,50.46854105356516,LOSE
50.30.2,16107.98,253940.62,13509.2,175363.0,19.23711248630562,44.808551404800326,LOSE
50.30.3,17901.78,324689.9,14828.7,195888.0,20.72386655607031,65.75282814669609,LOSE
50.30.4,18971.58,270156.77,16263.1,203768.0,16.654143428989563,32.580567115543175,LOSE
50.40.1,21845.1,431254.01,19519.6,235478.0,11.913666263652944,83.13983047248576,LOSE
50.40.2,21950.75,385332.34,19993.7,304486.0,9.78833332499737,26.55174293727791,LOSE
50.40.3,21750.24,402450.87,20412.2,278065.0,6.55509940133842,44.73265962994264,LOSE
50.40.4,21101.64,364421.77,18306.9,248427.0,15.266047228094312,46.69169212686222,LOSE
100.10.1,7916.86,238948.97,5522.23,183008.0,43.36346005146472,30.567499781430318,LOSE
100.10.2,5294.8,169196.19,5329.83,167258.0,-0.6572442273018041,1.1588025684870096,TIE
100.10.3,7450.56,233987.3,5595.11,183802.0,33.161993240526115,27.304001044602337,LOSE
100.10.4,7966.85,239043.15,5032.91,172997.0,58.29510164099896,38.17762735769984,LOSE
100.20.1,13426.36,416782.56,13691.4,275593.0,-1.9358137224827197,51.23118511718368,TIE
100.20.2,14105.37,344272.5,12723.0,265681.0,10.86512614949305,29.581151832460733,LOSE
100.20.3,14024.27,442424.86,12543.4,285954.0,11.80596967329433,54.71889184973806,LOSE
100.20.4,14242.21,425425.7,12139.7,249694.0,17.31929125101937,70.37882368018455,LOSE
100.30.1,19864.64,678458.95,16871.8,367505.0,17.73871193352221,84.61216854192458,LOSE
100.30.2,18457.99,599261.94,20215.8,403414.0,-8.69522848465061,48.54763096967382,TIE
100.30.3,20194.08,659359.14,18831.7,442980.0,7.234503523314416,48.84625490992821,LOSE
100.30.4,20928.92,773512.55,18659.0,397512.0,12.165282169462449,94.58847783211577,LOSE
100.40.1,24226.17,942316.74,22933.9,482058.0,5.634759024849663,95.47787610619469,LOSE
100.40.2,24897.33,752742.06,22485.7,503727.0,10.725171998203306,49.43452703547756,LOSE
100.40.3,24405.69,878368.61,23469.4,547570.0,3.9894074837873874,60.412113519732635,LOSE
100.40.4,24531.44,851539.72,22860.2,500478.0,7.31069719425026,70.14528510743729,LOSE
